file_name	bundle_id	tier	provenance	invoked	invoked_by	rel_path	sha256_12	upstream_file	notes
get_histone1.m	CR	T2	T2	yes	H3_01_3_8,H3_02_9_17,H3_02a_9_17,H3_02b_9_17,H3_03_18_26,H3_04_27_40,H3_04v3_27_40,H3_05_41_49,H3_06_53_63,H3_07_73_83,H3_08_117_128,H4_01_4_17,H4_02_20_23,H4_02a_18_23,H4_02b_20_35,H4_03_24_35,H4_04_40_45,H4_05_68_78,H4_06_79_92,get_histone2,get_histone4,get_histone6	TIER2/get_histone1.m	391e3d90fdd5	get_histone1.m	
get_histone10.m	CR	T2	T2	yes	H3_02b_9_17,H3_03_18_26,H3_04_27_40,H3_04v3_27_40,H3_06a_53_63	TIER2/get_histone10.m	b6d746ce17f5	get_histone10.m	
get_histone11.m	CR	T2	T2	yes	H3_02_9_17,H3_02a_9_17,H3_02b_9_17,H3_04_27_40,H3_04v3_27_40,get_histone22	TIER2/get_histone11.m	2c116e81a139	get_histone11.m	
get_histone12.m	CR	T2	T2	yes	H3_04a_27_40,H3_04v3a_27_40	TIER2/get_histone12.m	cb37b9e0cd1f	get_histone12.m	
get_histone13.m	CR	T4	T2	no		TIER2/get_histone13.m	1788605c70f4	get_histone13.m	
get_histone2.m	CR	T2	T2	yes	H3_02_9_17,H3_02a_9_17,H3_02b_9_17,H3_03_18_26,H3_04_27_40,H3_04v3_27_40,H3_06a_53_63	TIER2/get_histone2.m	c4ed2e6e17cd	get_histone2.m	
get_histone22.m	CR	T4	T2	no		TIER2/get_histone22.m	da39fcd279db	get_histone22.m	
get_rts.m	CR	T2	T2	yes	H3_01_3_8,H3_02_9_17,H3_02a_9_17,H3_02b_9_17,H3_03_18_26,H3_04_27_40,H3_04a_27_40,H3_04v3_27_40,H3_04v3a_27_40,H3_05_41_49,H3_06_53_63,H3_06a_53_63,H3_07_73_83,H3_08_117_128,H4_01_4_17,H4_02_20_23,H4_02a_18_23,H4_02b_20_35,H4_03_24_35,H4_04_40_45,H4_05_68_78,H4_06_79_92,relocateD	TIER2/get_rts.m	45756b3dc84c	get_rts.m	
get_rts0.m	CR	T2	T2	yes	DrawISOProfile0	TIER2/get_rts0.m	2b7de2cdcd46	get_rts0.m	
get_rts2.m	CR	T2	T2	yes	H3_01_3_8,H3_02_9_17,H3_02a_9_17,H3_02b_9_17,H3_03_18_26,H3_04_27_40,H3_04a_27_40,H3_04v3_27_40,H3_04v3a_27_40,H3_05_41_49,H3_06_53_63,H3_06a_53_63,H3_07_73_83,H3_08_117_128,H3_09u_64_135,H3_11_3_8,H3_12_9_17,H3_13_18_26,H3_14_27_40,H3_16_53_63,H3_17_73_83,H3_18_117_128,H4_01_4_17,H4_02_20_23,H4_02a_18_23,H4_02b_20_35,H4_03_24_35,H4_04_40_45,H4_05_68_78,H4_06_79_92,H4_07u_24_102,HH2A_01u_1_7,HH2B_01u_104_145	TIER2/get_rts2.m	344f6a5f8537	get_rts2.m	
get_rts22.m	CR	T2	T2	yes	H3_01_3_8,H3_02_9_17,H3_02a_9_17,H3_02b_9_17,H3_04_27_40,H3_04v3_27_40,H3_07_73_83	TIER2/get_rts22.m	78138bd943d3	get_rts22.m	
